,Title,Author,Publisher,DatePrint
0,"Hands-On Machine Learning with Scikit-Learn, Keras, and TensorFlow, 2nd Edition",Aurélien Géron,"O'Reilly Media, Inc.",September 2019
1,Designing Data-Intensive Applications,Martin Kleppmann,"O'Reilly Media, Inc.",March 2017
2,"Fluent Python, 2nd Edition",Luciano Ramalho,"O'Reilly Media, Inc.",November 2021
3,Fundamentals of Software Architecture,Mark Richards and Neal Ford,"O'Reilly Media, Inc.",January 2020
4,OCP Oracle Certified Professional Java SE 11 Developer Complete Study Guide,Jeanne Boyarsky and Scott Selikoff,Sybex,August 2020
5,Learning Go,Jon Bodner,"O'Reilly Media, Inc.",March 2021
6,"Head First Design Patterns, 2nd Edition",Eric Freeman and Elisabeth Robson,"O'Reilly Media, Inc.",December 2020
7,"Python Crash Course, 2nd Edition",Eric Matthes,No Starch Press,May 2019
8,"Building Microservices, 2nd Edition",Sam Newman,"O'Reilly Media, Inc.",August 2021
9,"Programming Rust, 2nd Edition","Jim Blandy, Jason Orendorff and Leonora F.S. Tindall","O'Reilly Media, Inc.",June 2021
